"year","occurrence_count"
1838,1
1840,17
1842,2
1846,1
1847,1
1848,1
1849,2269
1850,3
1851,12
1853,1
1855,1
1859,3
1860,1
1861,1
1862,1
1863,5
1864,17
1865,2
1866,1
1868,57
1869,63
1870,1
1871,95
1872,75
1873,556
1874,173
1875,165
1876,20
1877,288
1878,500
1879,1038
1880,753
1881,1039
1882,598
1883,1702
1884,2270
1885,3666
1886,1632
1887,250
1888,864
1889,1861
1890,2370
1891,367
1892,45
1893,793
1894,92
1895,202
1896,102
1897,100
1898,56
1899,95
1900,117
1901,475
1902,2729
1903,5387
1904,14517
1905,12837
1906,998
1907,1243
1908,94
1909,616
1910,31
1911,181
1912,341
1913,302
1914,405
1915,196
1916,225
1917,53
1918,44
1919,94
1920,100
1921,190
1922,221
1923,54
1924,108
1925,210
1926,100
1927,165
1928,532
1929,308
1930,432
1931,509
1932,616
1933,998
1934,1475
1935,270
1936,295
1937,268
1938,1379
1939,837
1940,2052
1941,808
1942,163
1943,149
1944,336
1945,701
1946,917
1947,921
1948,1420
1949,2894
1950,3383
1951,3920
1952,2075
1953,3091
1954,4085
1955,8063
1956,3049
1957,6797
1958,3772
1959,4731
1960,3907
1961,7726
1962,9877
1963,18534
1964,22963
1965,19742
1966,21013
1967,31092
1968,17235
1969,16389
1970,19130
1971,24600
1972,29440
1973,41596
1974,40639
1975,70256
1976,97547
1977,109570
1978,90683
1979,61991
1980,90290
1981,132489
1982,136110
1983,117284
1984,105940
1985,80350
1986,64642
1987,62785
1988,60149
1989,78656
1990,89779
1991,90169
1992,134439
1993,175472
1994,187108
1995,210909
1996,197331
1997,214236
1998,222830
1999,248629
2000,349724
2001,281165
2002,305854
2003,350583
2004,398136
2005,310454
2006,342959
2007,304578
2008,489629
2009,358932
2010,534767
2011,397299
2012,397008
2013,186452
2014,398649
2015,375668
2016,418779
2017,263051
2018,440074
2019,198937
2020,74320
2021,64054
2022,42681
2023,18797
2024,5668
